2023-08-01 00:18:47.097 +00:00 [INF] Application started. Press Ctrl+C to shut down.
2023-08-01 00:18:47.668 +00:00 [INF] Hosting environment: Development
2023-08-01 00:18:47.678 +00:00 [INF] Content root path: C:\Users\KHOULOUD TAOUCHIKHT\Desktop\Files\Coding\WarehouseManger\Esign\src\Server
2023-08-01 00:21:15.482 +00:00 [INF] Application started. Press Ctrl+C to shut down.
2023-08-01 00:21:15.691 +00:00 [INF] Hosting environment: Development
2023-08-01 00:21:15.699 +00:00 [INF] Content root path: C:\Users\KHOULOUD TAOUCHIKHT\Desktop\Files\Coding\WarehouseManger\Esign\src\Server
2023-08-01 00:34:33.698 +00:00 [INF] Application started. Press Ctrl+C to shut down.
2023-08-01 00:34:33.900 +00:00 [INF] Hosting environment: Development
2023-08-01 00:34:33.910 +00:00 [INF] Content root path: C:\Users\KHOULOUD TAOUCHIKHT\Desktop\Files\Coding\WarehouseManger\Esign\src\Server
2023-08-01 00:43:04.698 +00:00 [INF] Application started. Press Ctrl+C to shut down.
2023-08-01 00:43:04.901 +00:00 [INF] Hosting environment: Development
2023-08-01 00:43:04.910 +00:00 [INF] Content root path: C:\Users\KHOULOUD TAOUCHIKHT\Desktop\Files\Coding\WarehouseManger\Esign\src\Server
2023-08-01 00:45:38.701 +00:00 [INF] Documents fetched from the repository:
2023-08-01 00:45:38.706 +00:00 [INF] Document Id: 2, Name: testing12, Description: dngfds
2023-08-01 00:45:38.706 +00:00 [INF] Document Id: 11, Name: rjhgf, Description: fdbgnvc
2023-08-01 00:45:38.706 +00:00 [INF] Document Id: 12, Name: gcvzbn, Description: svcbv
2023-08-01 00:45:38.706 +00:00 [INF] Document Id: 13, Name: gnh, Description: fsdgn
2023-08-01 00:45:38.706 +00:00 [INF] Document Id: 15, Name: ford, Description: dcvb 
2023-08-01 00:45:38.707 +00:00 [INF] Document Id: 16, Name: doc, Description: sdb
2023-08-01 00:45:38.707 +00:00 [INF] Document Id: 17, Name: vvbf, Description: dvb b
2023-08-01 00:45:38.707 +00:00 [INF] Document Id: 18, Name: dvfb, Description: bfbd
2023-08-01 00:45:38.707 +00:00 [INF] Document Id: 19, Name: cfvbg, Description: dfbgnf
2023-08-01 00:45:38.707 +00:00 [INF] Document Id: 20, Name: dbfd, Description: bdbf
2023-08-01 00:45:38.707 +00:00 [INF] Document Id: 21, Name: testtset, Description: gfgnxcz
2023-08-01 00:45:38.707 +00:00 [INF] Document Id: 22, Name: bahhh 2, Description: sdgfgj
2023-08-01 00:45:38.707 +00:00 [INF] Document Id: 23, Name: pdf test12, Description: test
2023-08-01 00:45:38.708 +00:00 [INF] Document Id: 24, Name: test 2 pdf, Description: dsv
2023-08-01 00:45:38.708 +00:00 [INF] Document Id: 25, Name: testtt, Description: fdggh
2023-08-01 00:45:38.708 +00:00 [INF] Document Id: 26, Name: p, Description: dcgvn
2023-08-01 00:45:38.708 +00:00 [INF] Document Id: 27, Name: test2, Description: vfs
2023-08-01 00:45:38.708 +00:00 [INF] Document Id: 28, Name: segh, Description: sfdgn
2023-08-01 00:45:38.708 +00:00 [INF] Document Id: 29, Name: gxcvbn, Description: cxzv
2023-08-01 00:45:38.708 +00:00 [INF] Document Id: 30, Name: testttt, Description: wfg
2023-08-01 00:45:38.709 +00:00 [INF] Document Id: 31, Name: ha, Description: df
2023-08-01 00:45:38.709 +00:00 [INF] Document Id: 32, Name: ئ, Description: ء
2023-08-01 00:45:38.711 +00:00 [INF] Document Id: 33, Name: hiii, Description: vb
2023-08-01 00:45:38.712 +00:00 [INF] Document Id: 34, Name: db, Description: fbg
2023-08-01 00:45:38.712 +00:00 [INF] Document Id: 35, Name: dfv, Description: sv
2023-08-01 00:45:38.712 +00:00 [INF] Document Id: 36, Name: ss, Description: s
2023-08-01 00:45:38.712 +00:00 [INF] Document Id: 37, Name: testttt, Description: dvv
2023-08-01 00:45:38.712 +00:00 [INF] Document Id: 38, Name: s, Description: dv
2023-08-01 00:45:38.712 +00:00 [INF] Document Id: 39, Name: 2, Description: zdb
2023-08-01 00:45:38.935 +00:00 [INF] Documents fetched from the repository:
2023-08-01 00:45:38.935 +00:00 [INF] Document Id: 2, Name: testing12, Description: dngfds
2023-08-01 00:45:38.935 +00:00 [INF] Document Id: 11, Name: rjhgf, Description: fdbgnvc
2023-08-01 00:45:38.935 +00:00 [INF] Document Id: 12, Name: gcvzbn, Description: svcbv
2023-08-01 00:45:38.936 +00:00 [INF] Document Id: 13, Name: gnh, Description: fsdgn
2023-08-01 00:45:38.937 +00:00 [INF] Document Id: 15, Name: ford, Description: dcvb 
2023-08-01 00:45:38.937 +00:00 [INF] Document Id: 16, Name: doc, Description: sdb
2023-08-01 00:45:38.937 +00:00 [INF] Document Id: 17, Name: vvbf, Description: dvb b
2023-08-01 00:45:38.937 +00:00 [INF] Document Id: 18, Name: dvfb, Description: bfbd
2023-08-01 00:45:38.937 +00:00 [INF] Document Id: 19, Name: cfvbg, Description: dfbgnf
2023-08-01 00:45:38.938 +00:00 [INF] Document Id: 20, Name: dbfd, Description: bdbf
2023-08-01 00:45:38.938 +00:00 [INF] Document Id: 21, Name: testtset, Description: gfgnxcz
2023-08-01 00:45:38.938 +00:00 [INF] Document Id: 22, Name: bahhh 2, Description: sdgfgj
2023-08-01 00:45:38.938 +00:00 [INF] Document Id: 23, Name: pdf test12, Description: test
2023-08-01 00:45:38.938 +00:00 [INF] Document Id: 24, Name: test 2 pdf, Description: dsv
2023-08-01 00:45:38.938 +00:00 [INF] Document Id: 25, Name: testtt, Description: fdggh
2023-08-01 00:45:38.938 +00:00 [INF] Document Id: 26, Name: p, Description: dcgvn
2023-08-01 00:45:38.938 +00:00 [INF] Document Id: 27, Name: test2, Description: vfs
2023-08-01 00:45:38.938 +00:00 [INF] Document Id: 28, Name: segh, Description: sfdgn
2023-08-01 00:45:38.939 +00:00 [INF] Document Id: 29, Name: gxcvbn, Description: cxzv
2023-08-01 00:45:38.939 +00:00 [INF] Document Id: 30, Name: testttt, Description: wfg
2023-08-01 00:45:38.939 +00:00 [INF] Document Id: 31, Name: ha, Description: df
2023-08-01 00:45:38.939 +00:00 [INF] Document Id: 32, Name: ئ, Description: ء
2023-08-01 00:45:38.939 +00:00 [INF] Document Id: 33, Name: hiii, Description: vb
2023-08-01 00:45:38.939 +00:00 [INF] Document Id: 34, Name: db, Description: fbg
2023-08-01 00:45:38.939 +00:00 [INF] Document Id: 35, Name: dfv, Description: sv
2023-08-01 00:45:38.940 +00:00 [INF] Document Id: 36, Name: ss, Description: s
2023-08-01 00:45:38.940 +00:00 [INF] Document Id: 37, Name: testttt, Description: dvv
2023-08-01 00:45:38.940 +00:00 [INF] Document Id: 38, Name: s, Description: dv
2023-08-01 00:45:38.940 +00:00 [INF] Document Id: 39, Name: 2, Description: zdb
2023-08-01 00:45:45.669 +00:00 [INF] Documents fetched from the repository:
2023-08-01 00:45:45.669 +00:00 [INF] Document Id: 2, Name: testing12, Description: dngfds
2023-08-01 00:45:45.670 +00:00 [INF] Document Id: 11, Name: rjhgf, Description: fdbgnvc
2023-08-01 00:45:45.670 +00:00 [INF] Document Id: 12, Name: gcvzbn, Description: svcbv
2023-08-01 00:45:45.670 +00:00 [INF] Document Id: 13, Name: gnh, Description: fsdgn
2023-08-01 00:45:45.673 +00:00 [INF] Document Id: 15, Name: ford, Description: dcvb 
2023-08-01 00:45:45.674 +00:00 [INF] Document Id: 16, Name: doc, Description: sdb
2023-08-01 00:45:45.675 +00:00 [INF] Document Id: 17, Name: vvbf, Description: dvb b
2023-08-01 00:45:45.675 +00:00 [INF] Document Id: 18, Name: dvfb, Description: bfbd
2023-08-01 00:45:45.675 +00:00 [INF] Document Id: 19, Name: cfvbg, Description: dfbgnf
2023-08-01 00:45:45.675 +00:00 [INF] Document Id: 20, Name: dbfd, Description: bdbf
2023-08-01 00:45:45.675 +00:00 [INF] Document Id: 21, Name: testtset, Description: gfgnxcz
2023-08-01 00:45:45.675 +00:00 [INF] Document Id: 22, Name: bahhh 2, Description: sdgfgj
2023-08-01 00:45:45.675 +00:00 [INF] Document Id: 23, Name: pdf test12, Description: test
2023-08-01 00:45:45.675 +00:00 [INF] Document Id: 24, Name: test 2 pdf, Description: dsv
2023-08-01 00:45:45.675 +00:00 [INF] Document Id: 25, Name: testtt, Description: fdggh
2023-08-01 00:45:45.675 +00:00 [INF] Document Id: 26, Name: p, Description: dcgvn
2023-08-01 00:45:45.675 +00:00 [INF] Document Id: 27, Name: test2, Description: vfs
2023-08-01 00:45:45.675 +00:00 [INF] Document Id: 28, Name: segh, Description: sfdgn
